Titles,Type,Episodes,Episode duration,Year,Demographic,Genres,Theme,Studio,Source,Members,Score
Evangelion: 2.0 You Can (Not) Advance,Movie,1 ep,112 min ,2009,,"Action,Drama,Sci-Fi",Mecha,Khara,Original,501K,8.31
Ichiban Ushiro no Daimaou,TV,12 eps,23 min ,2010,,"Action,Comedy,Fantasy,Ecchi",Harem,Artland,Light novel,498K,6.75
Aldnoah.Zero,TV,12 eps,23 min ,2014,,"Action,Sci-Fi",Mecha,A-1 Pictures,Original,494K,7.4
Sousei no Onmyouji,TV,50 eps,24 min ,2016,Shounen,"Action,Fantasy,Romance",,Pierrot,Manga,483K,7.3
Dorohedoro,TV,12 eps,23 min ,2020,Seinen,"Action,Comedy,Fantasy,Horror",Gore,MAPPA,Manga,483K,8.06
Zero no Tsukaima: Futatsuki no Kishi,TV,12 eps,23 min ,2007,,"Action,Adventure,Comedy,Fantasy,Romance,Ecchi",Harem,J.C.Staff,Light novel,483K,7.42
Mob Psycho 100 III,TV,12 eps,23 min ,2022,,"Action,Comedy,Supernatural",Super Power,Bones,Web manga,483K,8.75
Black Lagoon: The Second Barrage,TV,12 eps,24 min ,2006,Seinen,Action,Adult Cast,Madhouse,Manga,483K,8.18
Full Metal Panic!,TV,24 eps,24 min ,2002,,"Action,Comedy,Sci-Fi",Mecha,Gonzo,Light novel,474K,7.61
Shingeki no Kyojin: Kuinaki Sentaku,OVA,2 eps,27 min ,2014,,Action,,Wit Studio,Visual novel,472K,8.41
Vivy: Fluorite Eye's Song,TV,13 eps,24 min ,2021,,"Action,Sci-Fi,Suspense",Music,Wit Studio,Original,471K,8.42
Itai no wa Iya nano de Bougyoryoku ni Kyokufuri Shitai to Omoimasu.,TV,12 eps,23 min ,2020,,"Action,Adventure,Comedy,Fantasy",Video Game,SILVER LINK.,Light novel,468K,7.56
Rurouni Kenshin: Meiji Kenkaku Romantan,TV,94 eps,25 min ,1996,Shounen,"Action,Adventure,Comedy,Romance",Historical,Gallop,Manga,468K,8.29
High School DxD Hero,TV,12 eps,23 min ,2018,,"Action,Comedy,Romance,Ecchi",Harem,Passione,Light novel,466K,7.25
Re:Creators,TV,22 eps,24 min ,2017,,"Action,Fantasy,Sci-Fi",Isekai,TROYCA,Original,466K,7.55
Fairy Tail: Final Series,TV,51 eps,23 min ,2018,Shounen,"Action,Adventure,Fantasy",,A-1 Pictures,Manga,465K,7.56
Tokyo Ravens,TV,24 eps,23 min ,2013,,"Action,Romance,Supernatural",School,8bit,Light novel,465K,7.44
Durarara!!x2 Shou,TV,12 eps,24 min ,2015,,"Action,Mystery,Supernatural",,Shuka,Light novel,461K,7.99
Cyberpunk: Edgerunners,ONA,10 eps,25 min ,2022,,"Action,Sci-Fi",Gore,Trigger,Game,456K,8.63
Magi: Sinbad no Bouken (TV),TV,13 eps,24 min ,2016,Shounen,"Action,Adventure,Fantasy",,Lay-duce,Manga,454K,7.85
Takt Op. Destiny,TV,12 eps,23 min ,2021,,"Action,Fantasy",Music,Madhouse,Mixed media,454K,7.15
Fate/Apocrypha,TV,25 eps,23 min ,2017,,"Action,Drama,Fantasy,Supernatural",,A-1 Pictures,Light novel,448K,7.18
Gleipnir,TV,13 eps,23 min ,2020,Seinen,"Action,Mystery,Supernatural,Ecchi",,Pine Jam,Manga,447K,7
"Sekai Saikou no Ansatsusha, Isekai Kizoku ni Tensei suru",TV,12 eps,23 min ,2021,,"Action,Drama,Fantasy,Mystery,Romance",Isekai,SILVER LINK.,Light novel,446K,7.37
Toaru Majutsu no Index II,TV,24 eps,23 min ,2010,,"Action,Sci-Fi",Super Power,J.C.Staff,Light novel,440K,7.54
Kaze no Stigma,TV,24 eps,24 min ,2007,,"Action,Romance,Supernatural",,Gonzo,Light novel,438K,7.18
Boruto: Naruto the Movie,Movie,1 ep,95 min ,2015,Shounen,"Action,Adventure,Fantasy",Martial Arts,Pierrot,Manga,436K,7.41
Shingeki no Kyojin OVA,OVA,3 eps,23 min ,2013,Shounen,"Action,Drama",Gore,Wit Studio,Manga,429K,7.87
Zero no Tsukaima: Princesses no Rondo,TV,12 eps,24 min ,2008,,"Action,Adventure,Comedy,Fantasy,Romance,Ecchi",Harem,J.C.Staff,Light novel,428K,7.33
Kizumonogatari III: Reiketsu-hen,Movie,1 ep,83 min ,2017,,"Action,Mystery,Supernatural",Vampire,Shaft,Light novel,427K,8.79
Boku no Hero Academia 6th Season,TV,25 eps,23 min ,2022,Shounen,Action,School,Bones,Manga,427K,8.27
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka Gaiden: Sword Oratoria,TV,12 eps,25 min ,2017,,"Action,Adventure,Fantasy",,J.C.Staff,Light novel,421K,7.06
Houseki no Kuni,TV,12 eps,24 min ,2017,Seinen,"Action,Drama,Fantasy,Mystery",Anthropomorphic,Orange,Manga,419K,8.4
Overlord IV,TV,13 eps,23 min ,2022,,"Action,Adventure,Fantasy",Isekai,Madhouse,Light novel,418K,8.11
Fate/stay night Movie: Heaven's Feel - I. Presage Flower,Movie,1 ep,120 min ,2017,,"Action,Fantasy,Supernatural",,ufotable,Visual novel,416K,8.18
No.6,TV,11 eps,23 min ,2011,,"Action,Drama,Mystery,Sci-Fi",,Bones,Novel,414K,7.57
Kizumonogatari II: Nekketsu-hen,Movie,1 ep,64 min ,2016,,"Action,Mystery,Supernatural",Vampire,Shaft,Light novel,414K,8.58
JoJo no Kimyou na Bouken Part 6: Stone Ocean,ONA,12 eps,24 min ,2021,Shounen,"Action,Adventure,Supernatural",,David Production,Manga,413K,8.23
Gakusen Toshi Asterisk 2nd Season,TV,12 eps,24 min ,2016,,"Action,Comedy,Fantasy,Romance,Sci-Fi,Ecchi",Harem,A-1 Pictures,Light novel,412K,7.01
Kekkai Sensen & Beyond,TV,12 eps,24 min ,2017,Shounen,"Action,Comedy,Fantasy,Supernatural",Super Power,Bones,Manga,407K,7.8
Evangelion: 3.0 You Can (Not) Redo,Movie,1 ep,95 min ,2012,,"Action,Award Winning,Drama,Sci-Fi",Mecha,Khara,Original,407K,7.63
Kara no Kyoukai Movie 1: Fukan Fuukei,Movie,1 ep,50 min ,2007,,"Action,Mystery,Supernatural,Suspense",,ufotable,Light novel,404K,7.58
Hagure Yuusha no Aesthetica,TV,12 eps,24 min ,2012,,"Action,Fantasy,Ecchi",Isekai,Arms,Light novel,402K,6.75
Darker than Black: Ryuusei no Gemini,TV,12 eps,24 min ,2009,,"Action,Mystery,Sci-Fi",Super Power,Bones,Original,397K,7.44
Shingeki no Bahamut: Genesis,TV,12 eps,24 min ,2014,,"Action,Adventure,Fantasy",Mythology,MAPPA,Card game,393K,7.63
86 Part 2,TV,12 eps,23 min ,2021,,"Action,Drama,Sci-Fi",Mecha,A-1 Pictures,Light novel,391K,8.71
Sekirei,TV,12 eps,23 min ,2008,Seinen,"Action,Comedy,Ecchi",Harem,Seven Arcs,Manga,390K,7.05
World Trigger,TV,73 eps,23 min ,2014,Shounen,"Action,Sci-Fi,Supernatural",School,Toei Animation,Manga,390K,7.58
Akudama Drive,TV,12 eps,24 min ,2020,,"Action,Sci-Fi",Gore,Pierrot,Original,387K,7.61
Digimon Adventure,TV,54 eps,24 min ,1999,Kids,"Action,Adventure,Comedy,Fantasy",Isekai,Toei Animation,Other,382K,7.77
Nanatsu no Taizai: Funnu no Shinpan,TV,24 eps,24 min ,2021,Shounen,"Action,Adventure,Fantasy",,Studio Deen,Manga,382K,6.58
Plunderer,TV,24 eps,22 min ,2020,Shounen,"Action,Fantasy,Romance,Ecchi",Military,Geek Toys,Manga,381K,6.61
"Kumo desu ga, Nani ka?",TV,24 eps,23 min ,2021,,"Action,Adventure,Comedy,Fantasy,Mystery",Isekai,Millepensee,Light novel,380K,7.45
Kuroshitsuji: Book of Circus,TV,10 eps,24 min ,2014,Shounen,"Action,Comedy,Mystery,Supernatural",Historical,A-1 Pictures,Manga,378K,8.07
Koukaku Kidoutai: Stand Alone Complex,TV,26 eps,25 min ,2002,Seinen,"Action,Award Winning,Sci-Fi",Adult Cast,Production I.G,Manga,378K,8.43
Durarara!!x2 Ten,TV,12 eps,24 min ,2015,,"Action,Mystery,Supernatural",,Shuka,Light novel,377K,7.98
Saijaku Muhai no Bahamut,TV,12 eps,23 min ,2016,,"Action,Fantasy,Romance,Ecchi",Harem,Lerche,Light novel,375K,6.54
IS: Infinite Stratos 2,TV,12 eps,24 min ,2013,,"Action,Comedy,Sci-Fi,Ecchi",Harem,8bit,Light novel,375K,6.47
Shinmai Maou no Testament Burst,TV,10 eps,23 min ,2015,,"Action,Fantasy,Romance,Ecchi",Harem,Production IMS,Light novel,374K,6.82
Bleach: Sennen Kessen-hen,TV,13 eps,24 min ,2022,Shounen,"Action,Adventure,Fantasy",,Pierrot,Manga,372K,9.11
Yu☆Gi☆Oh! Duel Monsters,TV,224 eps,23 min ,2000,Shounen,"Action,Adventure,Fantasy",Strategy Game,Gallop,Manga,372K,7.47
Toaru Kagaku no Railgun S,TV,24 eps,24 min ,2013,,"Action,Sci-Fi",Super Power,J.C.Staff,Manga,368K,8.02
Kore wa Zombie desu ka? of the Dead,TV,10 eps,24 min ,2012,,"Action,Comedy,Supernatural,Ecchi",Harem,Studio Deen,Light novel,367K,7.5
Panty & Stocking with Garterbelt,TV,13 eps,23 min ,2010,,"Action,Comedy,Supernatural,Ecchi",Gag Humor,Gainax,Original,366K,7.72
Hitsugi no Chaika,TV,12 eps,24 min ,2014,,"Action,Adventure,Fantasy,Romance",,Bones,Light novel,364K,7.23
Blood+,TV,50 eps,24 min ,2005,,"Action,Drama,Horror,Mystery,Supernatural",Gore,Production I.G,Original,362K,7.62
Hidan no Aria,TV,12 eps,24 min ,2011,,"Action,Comedy,Romance",School,J.C.Staff,Light novel,362K,6.8
Dragon Ball Kai,TV,97 eps,23 min ,2009,Shounen,"Action,Adventure,Comedy,Fantasy",Martial Arts,Toei Animation,Manga,361K,7.72
Durarara!!x2 Ketsu,TV,12 eps,24 min ,2016,,"Action,Mystery,Supernatural",,Shuka,Light novel,360K,8.06
Arslan Senki (TV),TV,25 eps,24 min ,2015,Shounen,"Action,Adventure,Drama,Fantasy",Historical,LIDENFILMS,Manga,359K,7.67
Busou Shoujo Machiavellianism,TV,12 eps,23 min ,2017,Shounen,"Action,Comedy,Ecchi",Harem,Connect,Manga,357K,6.89
Lycoris Recoil,TV,13 eps,24 min ,2022,,Action,,A-1 Pictures,Original,355K,8.23
Dragon Ball Super: Broly,Movie,1 ep,100 min ,2018,Shounen,"Action,Adventure,Fantasy",Martial Arts,Toei Animation,Manga,354K,8.15
Cowboy Bebop: Tengoku no Tobira,Movie,1 ep,115 min ,2001,,"Action,Sci-Fi",Adult Cast,Bones,Original,351K,8.38
Hundred,TV,12 eps,24 min ,2016,,"Action,Romance,Sci-Fi,Ecchi",Harem,Production IMS,Light novel,351K,6.32
Quanzhi Gaoshou,ONA,12 eps,24 min ,2017,,Action,Video Game,B.CMAY PICTURES,Novel,350K,7.89
Afro Samurai,TV,5 eps,27 min ,2007,,"Action,Adventure",Gore,Gonzo,Original,350K,7.36
Fate/stay night Movie: Heaven's Feel - II. Lost Butterfly,Movie,1 ep,117 min ,2019,,"Action,Fantasy,Supernatural",,ufotable,Visual novel,350K,8.51
Shaman King,TV,64 eps,23 min ,2001,Shounen,"Action,Adventure,Comedy,Supernatural",Super Power,Xebec,Manga,350K,7.75
Seireitsukai no Blade Dance,TV,12 eps,23 min ,2014,,"Action,Comedy,Fantasy,Romance,Ecchi",Harem,TNK,Light novel,348K,6.71
Redline,Movie,1 ep,102 min ,2009,,"Action,Sci-Fi",Adult Cast,Madhouse,Original,347K,8.28
Blood-C,TV,12 eps,23 min ,2011,,"Action,Horror,Mystery,Supernatural",Gore,Production I.G,Original,344K,6.53
Golden Kamuy,TV,12 eps,23 min ,2018,Seinen,"Action,Adventure",Adult Cast,Geno Studio,Manga,344K,7.87
Black★Rock Shooter (TV),TV,8 eps,23 min ,2012,,"Action,Drama",Mahou Shoujo,Ordet,Other,341K,6.81
Gantz,TV,13 eps,22 min ,2004,Seinen,"Action,Drama,Horror,Sci-Fi,Supernatural,Ecchi",Gore,Gonzo,Manga,341K,7
Ore dake Haireru Kakushi Dungeon,TV,12 eps,24 min ,2021,,"Action,Adventure,Fantasy,Ecchi",Harem,Okuruto Noboru,Light novel,341K,6.3
Tsuki ga Michibiku Isekai Douchuu,TV,12 eps,23 min ,2021,,"Action,Adventure,Comedy,Fantasy",Isekai,C2C,Light novel,340K,7.72
Kishuku Gakkou no Juliet,TV,12 eps,24 min ,2018,Shounen,"Action,Comedy,Romance",School,LIDENFILMS,Manga,339K,7.45
Air Gear,TV,25 eps,24 min ,2006,Shounen,"Action,Ecchi",,Toei Animation,Manga,339K,7.49
Kemono Jihen,TV,12 eps,23 min ,2021,Shounen,"Action,Mystery,Supernatural",Mythology,Ajia-Do,Manga,337K,7.4
Initial D First Stage,TV,26 eps,25 min ,1998,Seinen,"Action,Drama",Racing,Gallop,Manga,336K,8.32
Jormungand,TV,12 eps,24 min ,2012,Seinen,"Action,Adventure",Organized Crime,White Fox,Manga,336K,7.81
Berserk,TV,12 eps,24 min ,2016,Seinen,"Action,Adventure,Drama,Fantasy,Horror",Gore,GEMBA,Manga,335K,6.3
Genjitsu Shugi Yuusha no Oukoku Saikenki,TV,13 eps,24 min ,2021,,"Action,Fantasy,Romance",Harem,J.C.Staff,Light novel,335K,7.24
BNA,TV,12 eps,22 min ,2020,,"Action,Fantasy",Anthropomorphic,Trigger,Original,335K,7.36
"Sentouin, Hakenshimasu!",TV,12 eps,24 min ,2021,,"Action,Comedy,Fantasy,Sci-Fi",Isekai,J.C.Staff,Light novel,335K,7.17
Danganronpa 3: The End of Kibougamine Gakuen - Mirai-hen,TV,12 eps,24 min ,2016,,"Action,Horror,Mystery",High Stakes Game,Lerche,Visual novel,333K,7.25
Evangelion: 3.0+1.0 Thrice Upon a Time,Movie,1 ep,155 min ,2021,,"Action,Award Winning,Drama,Sci-Fi,Suspense",Mecha,Khara,Original,328K,8.62
B: The Beginning,ONA,12 eps,23 min ,2018,,"Action,Mystery,Supernatural,Suspense",Detective,Production I.G,Original,326K,7.19
Suisei no Gargantia,TV,13 eps,23 min ,2013,,"Action,Adventure,Sci-Fi",Mecha,Production I.G,Original,323K,7.46
Arifureta Shokugyou de Sekai Saikyou 2nd Season,TV,12 eps,23 min ,2022,,"Action,Adventure,Fantasy",Harem,asread.,Light novel,323K,7.19
Mahouka Koukou no Rettousei: Raihousha-hen,TV,13 eps,23 min ,2020,,"Action,Romance,Sci-Fi,Supernatural",School,8bit,Light novel,321K,7.29
Naruto: Shippuuden Movie 6 - Road to Ninja,Movie,1 ep,109 min ,2012,Shounen,"Action,Adventure,Fantasy",Isekai,Pierrot,Manga,321K,7.68
Phantom: Requiem for the Phantom,TV,26 eps,24 min ,2009,Seinen,"Action,Drama,Suspense",Organized Crime,Bee Train,Visual novel,320K,7.95
Code:Breaker,TV,13 eps,24 min ,2012,Shounen,"Action,Comedy,Supernatural",School,Kinema Citrus,Manga,317K,6.73
K: Return of Kings,TV,13 eps,24 min ,2015,,"Action,Supernatural",Super Power,GoHands,Original,316K,7.57
Witch Craft Works,TV,12 eps,23 min ,2014,Seinen,"Action,Fantasy,Supernatural",School,J.C.Staff,Manga,316K,7.01
Stranger: Mukou Hadan,Movie,1 ep,103 min ,2007,,"Action,Adventure",Historical,Bones,Original,316K,8.27
Ben-To,TV,12 eps,24 min ,2011,,"Action,Comedy,Gourmet",Martial Arts,David Production,Light novel,314K,7.21
Tales of Zestiria the Cross,TV,12 eps,23 min ,2016,,"Action,Adventure,Fantasy",,ufotable,Game,314K,7.24
Wolf's Rain,TV,26 eps,23 min ,2003,,"Action,Adventure,Drama,Fantasy,Mystery,Sci-Fi",,Bones,Original,314K,7.8
Seikon no Qwaser,TV,24 eps,24 min ,2010,Seinen,"Action,Supernatural,Ecchi",Super Power,Hoods Entertainment,Manga,314K,6.36
Machine-Doll wa Kizutsukanai,TV,12 eps,23 min ,2013,,"Action,Fantasy,Ecchi",School,Lerche,Light novel,313K,7.06
Freezing,TV,12 eps,24 min ,2011,Seinen,"Action,Drama,Romance,Sci-Fi,Ecchi",,A.C.G.T.,Manga,312K,6.81
Nanbaka,TV,13 eps,23 min ,2016,,"Action,Comedy,Drama",,Satelight,Web manga,312K,7.33
Kage no Jitsuryokusha ni Naritakute!,TV,20 eps,23 min ,2022,,"Action,Comedy,Fantasy",Isekai,Nexus,Light novel,311K,7.91
Seirei Gensouki,TV,12 eps,23 min ,2021,,"Action,Adventure,Drama,Fantasy,Romance",Harem,TMS Entertainment,Light novel,308K,7.05
Fate/stay night Movie: Heaven's Feel - III. Spring Song,Movie,1 ep,122 min ,2020,,"Action,Fantasy,Supernatural",,ufotable,Visual novel,306K,8.69
One Punch Man: Road to Hero,OVA,1 ep,24 min ,2015,Seinen,"Action,Comedy",Parody,Madhouse,Web manga,306K,7.7
Nejimaki Seirei Senki: Tenkyou no Alderamin,TV,13 eps,23 min ,2016,,"Action,Adventure,Fantasy",Military,Madhouse,Light novel,303K,7.66
Fate/stay night: Unlimited Blade Works Prologue,Special,1 ep,51 min ,2014,,"Action,Fantasy,Supernatural",,ufotable,Visual novel,302K,8.05
Danganronpa 3: The End of Kibougamine Gakuen - Zetsubou-hen,TV,11 eps,23 min ,2016,,"Action,Horror,Mystery",High Stakes Game,Lerche,Visual novel,302K,7.39
Sword Art Online: Extra Edition,Special,1 ep,101 min ,2013,,"Action,Fantasy",Video Game,A-1 Pictures,Light novel,302K,6.55
Aldnoah.Zero Part 2,TV,12 eps,23 min ,2015,,"Action,Sci-Fi",Mecha,A-1 Pictures,Original,300K,6.92
Gintama': Enchousen,TV,13 eps,24 min ,2012,Shounen,"Action,Comedy,Sci-Fi",Gag Humor,Sunrise,Manga,300K,9.03
Shakugan no Shana II (Second),TV,24 eps,24 min ,2007,,"Action,Drama,Fantasy,Romance",Mahou Shoujo,J.C.Staff,Light novel,300K,7.56
One Punch Man Specials,Special,6 eps,12 min ,2015,Seinen,"Action,Comedy",Adult Cast,Madhouse,Web manga,299K,7.7
Taimadou Gakuen 35 Shiken Shoutai,TV,12 eps,23 min ,2015,,"Action,Fantasy,Romance,Ecchi",Harem,SILVER LINK.,Light novel,298K,6.82
Devil May Cry,TV,12 eps,24 min ,2007,,"Action,Fantasy",Gore,Madhouse,Game,296K,6.94
C: The Money of Soul and Possibility Control,TV,11 eps,22 min ,2011,,"Action,Mystery,Suspense",Super Power,Tatsunoko Production,Original,295K,7.18
Isekai Cheat Magician,TV,12 eps,23 min ,2019,,"Action,Adventure,Fantasy",Isekai,Encourage Films,Light novel,294K,5.45
Seiken Tsukai no World Break,TV,12 eps,24 min ,2015,,"Action,Fantasy,Romance",Harem,Diomedéa,Light novel,294K,6.79
Code Geass: Fukkatsu no Lelouch,Movie,1 ep,112 min ,2019,,"Action,Drama,Sci-Fi",Mecha,Sunrise,Original,293K,7.91
Hamatora The Animation,TV,12 eps,24 min ,2014,,"Action,Mystery,Supernatural",Detective,NAZ,Mixed media,291K,7.26
Kino no Tabi: The Beautiful World,TV,13 eps,24 min ,2003,,"Action,Adventure,Slice of Life",Iyashikei,A.C.G.T.,Light novel,291K,8.29
Grancrest Senki,TV,24 eps,23 min ,2018,,"Action,Drama,Fantasy,Romance",,A-1 Pictures,Light novel,288K,7.22
Dimension W,TV,12 eps,24 min ,2016,Seinen,"Action,Sci-Fi",,Orange,Manga,288K,7.19
Shijou Saikyou no Deshi Kenichi,TV,50 eps,25 min ,2006,Shounen,"Action,Comedy",Martial Arts,TMS Entertainment,Manga,288K,8.06
Gintama.,TV,12 eps,24 min ,2017,Shounen,"Action,Comedy,Sci-Fi",Gag Humor,Bandai Namco Pictures,Manga,288K,8.99
Tenkuu Shinpan,ONA,12 eps,25 min ,2021,,"Action,Horror,Mystery",Gore,Zero-G,Manga,287K,6.73
Densetsu no Yuusha no Densetsu,TV,24 eps,24 min ,2010,,"Action,Adventure,Fantasy",,Zexcs,Light novel,287K,7.52
Full Metal Panic? Fumoffu,TV,12 eps,24 min ,2003,,"Action,Comedy",Gag Humor,Kyoto Animation,Light novel,285K,8.03
Oda Nobuna no Yabou,TV,12 eps,24 min ,2012,,"Action,Comedy,Romance",Harem,Madhouse,Light novel,284K,7.39
Deca-Dence,TV,12 eps,23 min ,2020,,"Action,Adventure,Sci-Fi",,Nut,Original,282K,7.38
Girls & Panzer,TV,12 eps,24 min ,2012,,Action,Military,Actas,Original,282K,7.52
Shingeki no Kyojin: Lost Girls,OVA,3 eps,25 min ,2017,,"Action,Drama",,Wit Studio,Novel,281K,7.81
Ajin Part 2,TV,13 eps,24 min ,2016,Seinen,"Action,Horror,Mystery,Supernatural",Gore,Polygon Pictures,Manga,281K,7.59
Nanatsu no Taizai Movie 1: Tenkuu no Torawarebito,Movie,1 ep,99 min ,2018,Shounen,"Action,Adventure,Fantasy",,A-1 Pictures,Manga,280K,7.12
Naruto: Shippuuden Movie 1,Movie,1 ep,94 min ,2007,Shounen,"Action,Adventure,Fantasy",,Pierrot,Manga,280K,7.29
Naruto Movie 1: Dai Katsugeki!! Yuki Hime Shinobu Houjou Dattebayo!,Movie,1 ep,82 min ,2004,Shounen,"Action,Adventure,Fantasy",,Pierrot,Manga,279K,7.11
SSSS.Gridman,TV,12 eps,23 min ,2018,,"Action,Sci-Fi",Mecha,Trigger,Original,277K,7.12
Maken-Ki!,TV,12 eps,25 min ,2011,Shounen,"Action,Ecchi",Harem,AIC Spirits,Manga,277K,6.33
Kämpfer,TV,12 eps,24 min ,2009,,"Action,Comedy,Girls Love,Romance,Ecchi",Magical Sex Shift,Nomad,Light novel,276K,6.38
Juuni Taisen,TV,12 eps,24 min ,2017,,Action,Gore,Graphinica,Novel,276K,6.54
Vinland Saga Season 2,TV,24 eps,25 min ,2023,Seinen,"Action,Adventure,Drama",Gore,MAPPA,Manga,275K,8.83
Black Lagoon: Roberta's Blood Trail,OVA,5 eps,33 min ,2010,Seinen,Action,Adult Cast,Madhouse,Manga,275K,8.02
Masou Gakuen HxH,TV,12 eps,24 min ,2016,,"Action,Comedy,Fantasy,Romance,Sci-Fi,Ecchi",Harem,Production IMS,Light novel,274K,6.13
Taboo Tattoo,TV,12 eps,24 min ,2016,Seinen,"Action,Mystery,Supernatural",Martial Arts,J.C.Staff,Manga,273K,5.75
Tate no Yuusha no Nariagari Season 3,TV,? eps,0 min , -,,"Action,Adventure,Drama,Fantasy",Isekai,Kinema Citrus,Light novel,268K,N/A
Servamp,TV,12 eps,24 min ,2016,Josei,"Action,Supernatural",Vampire,Brain's Base,Manga,268K,6.89
InuYasha: Kanketsu-hen,TV,26 eps,24 min ,2009,Shounen,"Action,Adventure,Fantasy,Romance",Historical,Sunrise,Manga,265K,8.2
Noblesse,TV,13 eps,23 min ,2020,,"Action,Supernatural",School,Production I.G,Web manga,265K,6.88
Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,OVA,4 eps,30 min ,1999,Shounen,"Action,Drama,Romance",Adult Cast,Studio Deen,Manga,265K,8.71
Bleach Movie 1: Memories of Nobody,Movie,1 ep,93 min ,2006,Shounen,"Action,Adventure,Fantasy",,Pierrot,Manga,264K,7.43
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka IV: Shin Shou - Meikyuu-hen,TV,11 eps,23 min ,2022,,"Action,Adventure,Fantasy",,J.C.Staff,Light novel,262K,7.68
Fate/kaleid liner Prisma☆Illya,TV,10 eps,24 min ,2013,,"Action,Comedy,Fantasy",Mahou Shoujo,SILVER LINK.,Manga,262K,7.04
Nurarihyon no Mago,TV,24 eps,24 min ,2010,Shounen,"Action,Supernatural",Mythology,Studio Deen,Manga,260K,7.62
100-man no Inochi no Ue ni Ore wa Tatteiru,TV,12 eps,23 min ,2020,Shounen,"Action,Drama,Fantasy",Isekai,Maho Film,Manga,260K,6.5
Ao no Exorcist Movie,Movie,1 ep,88 min ,2012,Shounen,"Action,Fantasy",Mythology,A-1 Pictures,Manga,259K,7.58
Akuma no Riddle,TV,12 eps,23 min ,2014,,"Action,Girls Love",School,Diomedéa,Manga,258K,6.61
Promare,Movie,1 ep,111 min ,2019,,"Action,Sci-Fi",Mecha,Trigger,Original,257K,7.95
Psycho-Pass Movie,Movie,1 ep,113 min ,2015,,"Action,Sci-Fi",Adult Cast,Production I.G,Original,256K,7.71
Saihate no Paladin,TV,12 eps,23 min ,2021,,"Action,Adventure,Fantasy",Isekai,Children's Playground Entertainment,Light novel,255K,6.85
Fate/Grand Order: Zettai Majuu Sensen Babylonia,TV,21 eps,23 min ,2019,,"Action,Fantasy,Supernatural",Isekai,CloverWorks,Game,255K,7.94
Zero kara Hajimeru Mahou no Sho,TV,12 eps,24 min ,2017,,"Action,Adventure,Fantasy",Anthropomorphic,White Fox,Light novel,255K,7.07
One Piece Film: Z,Movie,1 ep,107 min ,2012,Shounen,"Action,Adventure,Fantasy",,Toei Animation,Manga,254K,8.15
"Kimi to Boku no Saigo no Senjou, Aruiwa Sekai ga Hajimaru Seisen",TV,12 eps,23 min ,2020,,"Action,Fantasy,Romance",Military,SILVER LINK.,Light novel,254K,6.64
Persona 4 the Animation,TV,25 eps,25 min ,2011,,"Action,Adventure,Mystery,Sci-Fi,Supernatural",School,AIC ASTA,Game,253K,7.5
Full Metal Panic! The Second Raid,TV,13 eps,24 min ,2005,,Action,Mecha,Kyoto Animation,Light novel,252K,7.93
Naruto: Shippuuden Movie 2 - Kizuna,Movie,1 ep,92 min ,2008,Shounen,"Action,Adventure,Fantasy",,Pierrot,Manga,250K,7.28
Devils Line,TV,12 eps,24 min ,2018,Seinen,"Action,Drama,Romance,Supernatural",Adult Cast,Platinum Vision,Manga,249K,6.84
"Gaikotsu Kishi-sama, Tadaima Isekai e Odekakechuu",TV,12 eps,23 min ,2022,,"Action,Fantasy",Isekai,HORNETS,Light novel,249K,7.19
Youjo Senki Movie,Movie,1 ep,98 min ,2019,,"Action,Fantasy",Isekai,Nut,Light novel,249K,8.24
Pokemon Movie 01: Mewtwo no Gyakushuu,Movie,1 ep,85 min ,1998,Kids,"Action,Adventure,Comedy,Drama,Fantasy",,OLM,Game,249K,7.64
Psycho-Pass 3,TV,8 eps,45 min ,2019,,"Action,Sci-Fi,Suspense",Adult Cast,Production I.G,Original,249K,7.45
Darker than Black: Kuro no Keiyakusha Gaiden,Special,4 eps,24 min ,2010,,"Action,Mystery,Sci-Fi",Super Power,Bones,Original,248K,7.92
Kyoukai no Kanata Movie 2: I'll Be Here - Mirai-hen,Movie,1 ep,90 min ,2015,,"Action,Fantasy,Romance",School,Kyoto Animation,Light novel,246K,8.16
Kuusen Madoushi Kouhosei no Kyoukan,TV,12 eps,23 min ,2015,,"Action,Drama,Fantasy",School,Diomedéa,Light novel,245K,6.33
"Yuusha, Yamemasu",TV,12 eps,23 min ,2022,,"Action,Adventure,Comedy,Fantasy",,EMT Squared,Light novel,245K,7.04
K: Missing Kings,Movie,1 ep,73 min ,2014,,"Action,Supernatural",Super Power,GoHands,Original,244K,7.64
Mahou Sensou,TV,12 eps,24 min ,2014,,"Action,Fantasy",,Madhouse,Light novel,243K,5.97
Medaka Box,TV,12 eps,24 min ,2012,Shounen,"Action,Comedy,Ecchi",Martial Arts,Gainax,Manga,242K,7.03
Bungou Stray Dogs: Dead Apple,Movie,1 ep,90 min ,2018,Seinen,"Action,Mystery,Supernatural",Adult Cast,Bones,Manga,241K,7.92
Knight's & Magic,TV,13 eps,24 min ,2017,,"Action,Fantasy",Isekai,8bit,Light novel,241K,7.08
Persona 5 the Animation,TV,26 eps,24 min ,2018,,"Action,Fantasy,Supernatural",,CloverWorks,Game,240K,6.44
