Titles,Type,Episodes,Episode duration,Year,Demographic,Genres,Theme,Studio,Source,Members,Score
IS: Infinite Stratos,TV,12 eps,24 min ,2011,,"Action,Comedy,Sci-Fi,Ecchi",Harem,8bit,Light novel,611K,6.64
Kore wa Zombie desu ka?,TV,12 eps,24 min ,2011,,"Action,Comedy,Supernatural,Ecchi",Harem,Studio Deen,Light novel,603K,7.35
Rokka no Yuusha,TV,12 eps,24 min ,2015,,"Action,Adventure,Fantasy,Mystery",,Passione,Light novel,602K,7.28
Inuyashiki,TV,11 eps,22 min ,2017,Seinen,"Action,Drama,Sci-Fi",Gore,MAPPA,Manga,597K,7.65
Dragon Ball GT,TV,64 eps,24 min ,1996,Shounen,"Action,Adventure,Comedy,Fantasy,Sci-Fi",Super Power,Toei Animation,Manga,594K,6.47
Pokemon,TV,276 eps,24 min ,1997,Kids,"Action,Adventure,Comedy,Fantasy",,OLM,Game,593K,7.37
Great Pretender,TV,23 eps,23 min ,2020,,"Action,Adventure,Mystery",Adult Cast,Wit Studio,Original,588K,8.24
Koukaku Kidoutai,Movie,1 ep,82 min ,1995,Seinen,"Action,Mystery,Sci-Fi,Suspense",Adult Cast,Production I.G,Manga,586K,8.27
Log Horizon 2nd Season,TV,25 eps,24 min ,2014,,"Action,Adventure,Fantasy",Adult Cast,Studio Deen,Light novel,584K,7.58
Kenpuu Denki Berserk,TV,25 eps,25 min ,1997,Seinen,"Action,Adventure,Drama,Fantasy,Horror",Gore,OLM,Manga,582K,8.55
Toaru Kagaku no Railgun,TV,24 eps,24 min ,2009,,"Action,Sci-Fi",Super Power,J.C.Staff,Manga,578K,7.67
Sword Art Online Alternative: Gun Gale Online,TV,12 eps,23 min ,2018,,Action,Military,Studio 3Hz,Light novel,575K,7
Gintama°,TV,51 eps,24 min ,2015,Shounen,"Action,Comedy,Sci-Fi",Gag Humor,Bandai Namco Pictures,Manga,574K,9.07
Zetsuen no Tempest,TV,24 eps,24 min ,2012,Shounen,"Action,Drama,Fantasy,Mystery",Psychological,Bones,Manga,571K,7.92
Beelzebub,TV,60 eps,24 min ,2011,Shounen,"Action,Comedy,Supernatural",Childcare,Pierrot Plus,Manga,568K,7.86
